Phase_Number,State,Constituency,Total_Electorate_Count,Poll_Percent,Total_Votes_Polled
2,Assam,Nagaon,1817204.0,84.97,1544081.0
2,Assam,Silchar,1369578.0,79.05,1082616.0
2,Bihar,Banka,1856566.0,54.48,1011513.0
2,Bihar,Bhagalpur,1983031.0,53.5,1060982.0
2,Bihar,Katihar,1833009.0,63.76,1168752.0
2,Bihar,Kishanganj,1829994.0,62.84,1149988.0
2,Bihar,Purnia,1893698.0,63.08,1194484.0
2,Chhattisgarh,KANKER,1654440.0,76.23,1261103.0
2,Chhattisgarh,MAHASAMUND,1762477.0,75.02,1322125.0
2,Chhattisgarh,RAJNANDGAON,1868021.0,77.42,1446247.0
2,"Jammu and
Kashmir",JAMMU,1780835.0,72.22,1286144.0
2,Karnataka,Bangalore central,2433751.0,54.06,1315612.0
2,Karnataka,Bangalore North,3214496.0,54.45,1750372.0
2,Karnataka,Bangalore Rural,2802580.0,68.3,1914030.0
2,Karnataka,Bangalore South,2341759.0,53.17,1245168.0
2,Karnataka,Chamarajanagar,1778310.0,76.82,1366015.0
2,Karnataka,Chikkballapur,1981347.0,77.0,1525718.0
2,Karnataka,Chitradurga,1856876.0,73.3,1361031.0
2,Karnataka,Dakshina Kannada,1817603.0,77.56,1409653.0
2,Karnataka,Hassan,1736610.0,77.68,1348966.0
2,Karnataka,Kolar,1726914.0,78.27,1351646.0
2,Karnataka,Mandya,1779243.0,81.67,1453060.0
2,Karnataka,Mysore,2092222.0,70.62,1477576.0
2,Karnataka,Tumkur,1661309.0,78.05,1296720.0
2,Karnataka,Udupi Chikmagalur,1585162.0,77.15,1222888.0
2,Kerala,Alappuzha,1400082.0,75.05,1050726.0
2,Kerala,Alathur,1337496.0,73.42,981945.0
2,Kerala,Attingal,1396807.0,69.48,970517.0
2,Kerala,Chalakudy,1310529.0,71.94,942787.0
2,Kerala,Ernakulam,1324047.0,68.29,904131.0
2,Kerala,Idukki,1250157.0,66.55,831936.0
2,Kerala,Kannur,1358368.0,77.21,1048839.0
2,Kerala,Kasaragod,1452230.0,76.04,1104331.0
2,Kerala,Kollam,1326648.0,68.15,904047.0
2,Kerala,Kottayam,1254823.0,65.61,823237.0
2,Kerala,Kozhikode,1429631.0,75.52,1079683.0
2,Kerala,Malappuram,1479921.0,72.95,1079547.0
2,Kerala,Mavelikkara,1331880.0,65.95,878360.0
2,Kerala,Palakkad,1398143.0,73.57,1028627.0
2,Kerala,Pathanamthitta,1429700.0,63.37,906051.0
2,Kerala,Ponnani,1470804.0,69.34,1019889.0
2,Kerala,Thiruvananthapuram,1430531.0,66.47,950829.0
2,Kerala,Thrissur,1483055.0,72.9,1081125.0
